Table.Name;Field.Name;DataType
Result;rslt_Object;INT64
Encounter;enct_Physician;INT64
HCProvider;hcpr_Id;INT64
HCProvider;hcpr_CreationUser;INT64
HCProvider;hcpr_LastUpdateUser;INT64
HCProvider;hcpr_Version;Positive integer
IssuerCombination;icmb_Id;INT64
IssuerCombination;icmb_CreationUser;INT64
IssuerCombination;icmb_LastUpdateUser;INT64
IssuerCombination;icmb_Version;Positive integer
HCProvider;hcpr_Code;String
IssuerCombination;icmb_Issuer;INT64
IssuerCombination;icmb_Description;String
Result;rslt_QCPopulation;INT64
Result;rslt_RawValue;String
Result;rslt_RawUnit;INT64
Result;rslt_Comparator;Enumerated
Result;rslt_Mantissa;Integer
Result;rslt_Exponent;Integer
Result;rslt_Choice;INT64
Material;mat_CreationUser;INT64
Material;mat_LastUpdateUser;INT64
Institution;inst_CreationUser;INT64
Institution;inst_LastUpdateUser;INT64
Result;rslt_ExternalComment;String
Material;mat_MinimalSize;Positive fractional
Material;mat_MaximalSize;Positive fractional
Lab;lab_CreationUser;INT64
Lab;lab_LastUpdateUser;INT64
Result;rslt_AvailabilityUser;INT64
PanelMember;panm_Id;INT64
PanelMember;panm_CreationUser;INT64
PanelMember;panm_LastUpdateUser;INT64
PanelMember;panm_Version;Positive integer
Result;rslt_AvailabilityTime;DateTime
PanelMember;panm_PanelRequestable;INT64
PanelMember;panm_RequestCode;INT64
Result;rslt_ConfirmationUser;INT64
Result;rslt_ConfirmationTime;DateTime
Result;rslt_ValidationUser;INT64
Result;rslt_ValidationTime;DateTime
Property;prop_Reusability;Positive fractional
Result;rslt_RejectionUser;INT64
PropertyClassification;pcl_Id;INT64
PropertyClassification;pcl_CreationUser;INT64
PropertyClassification;pcl_LastUpdateUser;INT64
PropertyClassification;pcl_Version;Positive integer
PropertyClassification;pcl_Name;String
Result;rslt_RejectionTime;DateTime
Result;rslt_RejectionReason;String
PropertyClassificationNode;pcln_Id;INT64
PropertyClassificationNode;pcln_CreationUser;INT64
PropertyClassificationNode;pcln_LastUpdateUser;INT64
PropertyClassificationNode;pcln_Version;Positive integer
Result;rslt_Predecessor;INT64
PropertyClassificationNode;pcln_Classification;INT64
Material;mat_Reusability;Positive fractional
PropertyClassificationNode;pcln_Parent;INT64
PropertyClassificationNode;pcln_SeqNo;Positive integer
Municipality;mncp_LastUpdateUser;INT64
